timestamps,agg_signal,p300_signal_id
15:31.6,3.308273946,p300_sig_id_0
15:31.6,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.7,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.8,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:31.9,3.308273946,p300_sig_id_0
15:32.0,3.308273946,p300_sig_id_0
15:32.0,3.308273946,p300_sig_id_0
15:32.0,3.308273946,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.0,1.261218735,p300_sig_id_0
15:32.1,1.261218735,p300_sig_id_0
15:32.1,1.261218735,p300_sig_id_0
15:32.1,1.261218735,p300_sig_id_0
15:32.1,1.261218735,p300_sig_id_0
15:32.1,1.261218735,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.1,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.3549182,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
